About project,"Factually Health — це платформа, що використовує штучний інтелект для надання достовірної медичної інформації. Вона пропонує два основні інструменти:

1. **AI-Пошук Фактів**: Автоматизована система, підкріплена експертними знаннями, знаходить релевантні фактичні статті для відповіді на запити користувачів. Цей інструмент можна інтегрувати з внутрішніми даними компанії для пошуку як у зовнішніх, так і у внутрішніх джерелах інформації. Дизайн пошукового інструменту налаштовується відповідно до брендингу організації.

2. **Розмовний HealthBot**: Цей чат-бот надає точні відповіді на медичні питання в режимі реального часу, покращуючи взаємодію з пацієнтами та клієнтами. Його зовнішній вигляд та відповіді можна налаштувати відповідно до бренду та тону організації. Доступний API для легкої інтеграції з платформою без використання інтерфейсу Factually Health.

**Цільова аудиторія**:

- **Медичні та клінічні установи**: Покращення догляду за пацієнтами шляхом надання достовірної медичної інформації, що сприяє довірі та обґрунтованому прийняттю рішень.

- **Освітні та медіа організації**: Підвищення якості контенту за допомогою точних медичних даних, що дозволяє створювати захоплюючі та надійні матеріали.

- **Організації, що займаються здоров'ям та профілактикою**: Надання клієнтам достовірної інформації для прийняття обґрунтованих рішень щодо здоров'я.

**Типи користувачів**:

- **Пацієнти та споживачі**: Особи, які шукають достовірну медичну інформацію для прийняття обґрунтованих рішень щодо свого здоров'я.

- **Медичні працівники**: Фахівці, які використовують платформу для надання пацієнтам точної та актуальної інформації.

- **Освітяни та журналісти**: Професіонали, які створюють контент на основі достовірних медичних даних.

**Дизайнерські міркування**:

- **Інтуїтивно зрозумілий інтерфейс**: Забезпечення простоти використання для різних типів користувачів.

- **Адаптивний дизайн**: Гарантія коректного відображення на різних пристроях та екранах.

- **Брендування**: Можливість налаштування зовнішнього вигляду інструментів відповідно до бренду клієнта.

- **Доступність**: Дотримання стандартів доступності для користувачів з обмеженими можливостями.

- **Безпека даних**: Забезпечення конфіденційності та безпеки медичної інформації користувачів.

Детальніше про платформу та її можливості можна дізнатися на офіційному сайті Factually Health. ",,,,,
Modules ,Features/Epics,Comments ,Min,Most likely,Maximum ,PERT
Portal Design ,,,,,,
Design concept ,Moodboard,,4,6,8,6
High Fidelity Wireframes ,Pre-query chat/AI agent,,15,18,20,18
,Post-query chat/AI agent,,15,18,20,18
Responsive ,,,11,14,18,14
Prototype ,Web,,4,6,8,6
TOTAL,,,49,62,74,62
Design System,,,,,,
Desops,Design documentation ,Creation & maintenance ,6,8,12,8
TOTAL,,,6,8,12,8
,Total Product Design,,55,70,86,70
,Total BA/PM,,11,14,17,14
,TOTAL PROJECT (hours),,66,84,103,84
,TOTAL PROJECT COST ,,$3 300,$4 200,$5 160,$4 210